timestamp,open,high,low,close,volume,volume_CMF,volume_FII,volume_MFI,volume_VWA,mom_AOI,mom_PPO,mom_PPO_signal,mom_PVO,mom_PVO_signal,mom_ROC,mom_rsi,mom_stoch_RSI,mom_StochOscillator,mom_StochOscillator_signal,mom_TSI,mom_UltimateOscillator,mom_WilliamsRIndicator,volat_ATR,volat_bol_hband_binary,volat_bol_lband_binary,volat_bol_band_width,KCW,KCP,donch_DCW,ULI,ADX,ADX_neg,ADX_pos,ARI_down,ARI,ARI_up,CCI,DPO,EMA_100_binary,KST,KST_diff,KST_sig,MACD_line,MACD_signal,MAI,PSAR_binary,STC,TRIX,vortex_ind_diff,vortex_neg,vortex_pos,S&P_close_filled,Interest_Rates_filled,Inflation_Rate_us,subhag_signal,Fisher,Fisher_trigger,supertrend,chop_index,Velocity
2019-09-08 20:00:00,10000.0,10000.0,10000.0,10000.0,0.002,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,0,,,,,,2978.43,2.25,2.0,-1,0.0,0.0,1,inf,-1
2019-09-08 21:00:00,10000.0,10000.0,10000.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,0,,,,,,2978.43,2.25,2.0,-1,3.8002,0.0,1,inf,1
2019-09-08 22:00:00,10344.77,10357.53,10337.43,10340.12,471.659,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,17.29933665008111,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,5.7003,3.8002,1,inf,1
2019-09-08 23:00:00,10340.12,10368.64,10334.54,10351.42,583.271,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,7.041697416974072,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,6.65035,5.7003,1,inf,1
2019-09-09 00:00:00,10351.42,10391.9,10324.77,10391.9,689.759,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,4.181763235253755,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,7.12538,6.65035,1,inf,1
2019-09-09 01:00:00,10392.59,10412.65,10375.58,10375.58,675.394,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,3.0235479797980234,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,7.36289,7.12538,1,inf,1
2019-09-09 02:00:00,10375.58,10392.25,10366.57,10391.63,676.206,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,2.9552006374041033,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,7.48165,7.36289,-1,inf,1
2019-09-09 03:00:00,10391.63,10391.63,10391.63,10391.63,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,2.955200637403992,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,7.54102,7.48165,1,inf,1
2019-09-09 04:00:00,10391.63,10391.63,10391.63,10391.63,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,2.9552006374040647,,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,7.57071,7.54102,1,inf,1
2019-09-09 05:00:00,10316.62,10316.65,10294.29,10296.04,96.462,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.5903652392947477,4.00903721414418,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,5.0447,7.57071,-1,inf,1
2019-09-09 06:00:00,10295.81,10316.68,10267.37,10297.89,682.987,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.6167546432062477,3.9974681248779365,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,2.76722,5.0447,-1,inf,1
2019-09-09 07:00:00,10297.89,10316.33,10251.51,10316.3,680.278,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.9426750267751995,1.556244515623959,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,1.21283,2.76722,1,inf,1
2019-09-09 08:00:00,10316.3,10316.34,10299.8,10304.32,671.524,,,,,,,,,,3.043199999999997,,,,,,,,0.0,0.0,0.0,,,0.7040234147113094,1.5567827674562207,,0.0,0.0,0.0,,,,,,0,,,,,,,1,,,,,,2978.43,2.25,2.0,-1,0.29834,1.21283,1,inf,1
2019-09-09 09:00:00,10304.32,10305.51,10252.36,10256.09,680.52,,513.9924431596364,63.90302102272284,10332.611647355201,,,,,,2.5609000000000015,59.3504133275876,,62.059857021689176,,,,-37.940142978310824,57.333571428571176,0.0,0.0,,,-0.14657322468782433,1.5582178683320351,0.5757871238974452,0.0,0.0,0.0,,,,,,0,,,,,,,0,,,,,,2978.43,2.25,2.0,-1,-0.44113,0.29834,-1,inf,1
2019-09-09 10:00:00,10260.16,10273.71,10092.71,10149.47,632.467,,-9192.810983006098,57.810533796447615,10317.077105260783,,,,,,-1.8437890469356395,44.466534277165046,,36.2219798861019,,,,-63.7780201138981,66.1668877551018,0.0,0.0,,,-1.267878607522575,3.1010778460293675,0.8486853475242947,0.0,0.0,0.0,,,,,,0,-583.2158298252981,0.0,-583.2158298252981,,,,0,,,-0.16111094167759898,0.9885530716602129,0.8274421299826139,2978.43,2.25,2.0,-1,-1.05937,-0.44113,-1,32.91670435362764,-1
2019-09-09 11:00:00,10149.47,10170.74,10077.22,10147.84,1160.043,,-8149.676569719381,49.234835671000525,10289.186346963927,,,,,,-1.9666866961247822,44.283694853579476,,21.053573025668765,39.778469977819945,,,-78.94642697433123,68.12068148688027,0.0,0.0,,,-1.0256024549475076,3.060241975061118,1.055579368366939,0.0,34.38833396349151,38.054790419798934,,,,,,0,-564.9009250030423,9.157452411127906,-574.0583774141702,,,,0,,,-0.2570948486339487,1.08513818360735,0.8280433349734012,2978.43,2.25,2.0,-1,-1.59865,-1.05937,-1,44.20888374220763,-1
2019-09-09 12:00:00,10147.84,10267.74,10143.68,10248.89,274.673,,-3020.3361097594993,47.871540930647654,10283.14752232311,,,,,,-1.3761679769820747,56.28439211991934,,51.17908356438003,36.151545492050225,,,-48.82091643561997,72.11634709496022,0.0,0.0,,,0.2573694707840934,3.0584600598637537,1.1178201855709486,0.0,30.360045829821996,42.75603665017601,,,,,,0,-546.1234632287819,18.623276123592177,-564.7467393523741,,,,0,,,-0.15832266628739688,1.017553216706966,0.8592305504195692,2978.43,2.25,2.0,-1,-1.58708,-1.59865,1,34.952154499279224,-1
2019-09-09 13:00:00,10249.57,10256.18,10196.76,10253.25,384.383,,-2349.4438255081104,46.41066613843754,10275.174284624576,,,,,,-1.1790184259578733,56.717574335835415,,52.47890767075113,41.57052142026664,,,-47.52109232924887,71.20946515960593,0.0,0.0,,,0.3285785018744237,3.0625826257343034,1.1733173300436621,0.0,28.630155195165983,40.319832574900985,,,,,,0,-528.3379150035053,27.306618261651693,-555.644533265157,,,,0,,,-0.11539169658473825,1.043128049341802,0.9277363527570638,2978.43,2.25,2.0,-1,-1.22057,-1.58708,1,36.0725723012956,-1
2019-09-09 14:00:00,10247.69,10475.54,10222.75,10414.6,647.386,,12908.438306707367,46.095777463871286,10274.752158481062,,,,,,0.22104328194904135,68.9712330068068,,84.70074312110859,62.78624478541325,,,-15.299256878891413,84.17950336249127,0.0,0.0,,,1.7066285212600354,3.879059283326478,1.1733173300436621,0.0,22.703377682680856,49.936717423182344,,,,,,0,-509.77598558194063,36.694838146573034,-546.4708237285137,,,,1,,,0.12475585474542539,0.8496065231819465,0.9743623779273719,2978.43,2.25,2.0,1,-0.55011,-1.22057,1,36.89787000915959,-1
2019-09-09 15:00:00,10411.7,10411.7,10349.89,10356.75,844.568,0.07612106022673135,4084.624434320557,47.32725620469636,10275.606231399945,,,,,,-0.3356547529117107,62.17470660306303,,70.17724442659159,69.1189650728171,,,-29.82275557340842,82.78882455088481,0.0,0.0,4.663706737377303,1.1312249364314648,1.1629932522688287,3.87676723240166,1.1819268073731464,0.0,21.477693034597824,47.24078958474683,,,,66.98407201074596,107.86249999999927,0,-491.3153348995882,45.96290735743793,-537.2782422570261,,,,1,,,0.11393831882772476,0.9289225197257791,1.0428608385535039,2978.43,2.25,2.0,1,0.11368,-0.55011,1,37.878106299397594,-1
2019-09-09 16:00:00,10356.61,10389.12,10317.61,10322.37,872.928,-0.0006344132861948444,-786.2168620108505,46.11503517179575,10273.759386369218,,,,,,-0.666497941131453,58.486127691436145,,61.54599317131967,72.14132690633996,,,-38.45400682868033,81.98319422582163,0.0,0.0,3.915407164529874,1.1987893525999955,0.7071110499013007,3.8758437783521926,1.2053916207327484,0.0,22.90623155653867,44.3888382349549,,,,40.81831771508985,-3.845999999999549,0,-460.0544259227215,66.19184257226107,-526.2462684949826,,,,1,,,0.08675111020502291,0.933742255156581,1.020493365361604,2978.43,2.25,2.0,1,0.61631,0.11368,-1,39.44955707878527,-1
2019-09-09 17:00:00,10327.06,10363.82,10302.69,10337.55,830.825,0.009514561559301693,1127.8031897048038,41.56152981299295,10279.743503209504,,,,,,0.4031647118697907,59.62508523535915,,65.3569993974691,65.69341233179345,,,-34.6430006025309,80.49368035254861,0.0,0.0,2.8634251882549973,1.256115848366644,0.68534028045799,3.8750425255564513,1.221500901904653,0.0,22.98524870419722,42.05171823512623,,,,23.76273781348653,-18.873499999999694,0,-428.8064061682254,85.25987953591255,-514.066285704138,,,,1,,,0.02792398890103509,0.957899604809552,0.9858235937105871,2978.43,2.25,2.0,1,0.92354,0.61631,-1,41.44906073558999,-1
2019-09-09 18:00:00,10333.86,10363.66,10308.84,10314.26,837.694,-0.018176784663885247,-1820.439160252912,37.80028319945577,10284.174611873901,,,,,,0.1589646034284771,57.03942287530523,,59.50994175537256,62.137644774720435,,,-40.49005824462744,78.65984604165226,0.0,0.0,2.8562568521421565,1.2898810553031097,0.511473039547342,3.874667841492326,1.2483458032111838,0.0,21.873041438685107,40.01692508799638,,,,18.412793570793827,0.8294999999998254,0,-398.3517448240166,102.85736967121898,-501.20911449523555,,,,1,,,0.03150821464167497,0.9598832910008682,0.9913915056425432,2978.43,2.25,2.0,1,1.12819,0.92354,-1,43.1566232591652,1
2019-09-09 19:00:00,10314.26,10333.55,10183.31,10255.44,1126.982,-0.020516017419466445,-11030.245171645305,34.038548454938876,10281.086868439812,,,,,,-0.5899401917353971,51.021628652697366,,44.7429202651136,56.53662047265175,,,-55.2570797348864,83.77271418153421,0.0,0.0,2.881851228617699,1.403139264922187,0.13640564359265897,3.874692340751152,1.2901202581638542,0.0,29.58094940948654,35.016161897117186,,,,-56.75656726840301,-6.351500000000669,0,-368.1346769372199,109.17653168156244,-477.31120861878236,,,,1,,,-0.07253550446408052,0.9847342369431472,0.9121987324790667,2978.43,2.25,2.0,-1,0.99477,1.12819,-1,44.734492457433575,1
2019-09-09 20:00:00,10253.31,10296.3,10235.3,10263.33,913.252,-0.0803440464817273,-8425.13039283891,41.94193201382795,10278.859213786858,,,,,,-0.39779432315766383,51.756877389756376,,46.72373970676839,50.32553390908485,,,-53.27626029323161,82.14609173999607,0.0,0.0,2.8151178859762127,1.3979013378060252,0.2259361352006223,3.8704055452751693,1.3253855661338798,0.0,28.048349388982285,33.201961490679544,4.0,72.0,76.0,-43.18877067984211,-48.15299999999843,0,-337.25513447108915,114.76209742192071,-452.01723189300986,,,,1,,,-0.040077633700363324,1.0133566641960414,0.9732790304956781,2978.43,2.25,2.0,-1,0.66746,0.99477,-1,45.07448483668821,1
2019-09-09 21:00:00,10261.38,10288.82,10250.56,10255.58,918.219,-0.07897999955232035,-8238.139943861923,43.20954120330909,10276.680220361379,,0.3270588278586699,,30.303171923219242,,-0.00497265527116297,50.94784639354022,,44.778067885117466,45.41490928566649,,,-55.221932114882534,79.01137090142494,0.0,0.0,2.7703011677555693,1.3998916541237376,0.21504488629268234,3.221253087446748,1.3730888925689386,0.0,27.099963173322305,32.07931850823712,4.0,68.0,72.0,-37.717166904877054,-148.77300000000105,0,-319.0938392665995,107.69787885283455,-426.79171811943405,33.52309895774124,,,1,,,-0.022197090824007226,1.0191943220372035,0.9969972312131963,2978.43,2.25,2.0,-1,0.30143,0.66746,-1,44.29755730819194,1
2019-09-09 22:00:00,10255.58,10323.13,10237.17,10308.87,956.876,-0.07761650658690174,223.29748240418394,44.66823298602541,10275.98000626037,,0.3225241012578238,,28.90789105828105,,1.5705253574817353,56.03665927739988,0.47606870927646444,58.156758385218055,49.88618865903464,,,-41.843241614781945,79.5077015513231,0.0,0.0,2.646699483486701,1.4590992624732735,0.6125657588066947,2.8349275334200086,1.3813970515048384,0.0,25.050542187541875,32.67180578145532,56.00000000000001,11.999999999999993,68.0,-2.876002732374,-146.26499999999942,0,-301.16728340067544,100.38325342955528,-401.5505368302307,33.072391371308186,,,1,,,-0.04131491524671327,0.9928305600153905,0.9515156447686772,2978.43,2.25,2.0,-1,-0.08822,0.30143,-1,46.29556329198947,1
2019-09-09 23:00:00,10307.8,10420.65,10228.28,10233.85,726.047,-0.12264763060772718,-7589.751577939316,51.015207278763384,10277.45788287041,,0.25708159723876806,,25.292960988904323,,0.8475695320383472,48.42098978382391,0.16758637108996555,39.32265515163698,47.419160473990836,,,-60.67734484836302,87.56929429765708,0.0,0.0,2.5450014780386767,1.6467910409131543,0.18568300011215555,2.8354611663202887,1.4147129871806623,19.67654354825408,21.188715874989303,35.45012839673425,52.0,12.0,64.0,9.975626740947558,-37.32600000000093,0,-283.06334554294943,93.29689794961558,-376.360243492565,26.357878118447843,,,1,,,0.06108170835597204,0.9208205045646944,0.9819022129206665,2978.43,2.25,2.0,-1,-0.1758,-0.08822,-1,50.01049968221785,1
2019-09-10 00:00:00,10229.48,10343.79,10229.48,10289.48,516.808,-0.11648292156309362,-2398.3543468051885,51.51832559278698,10283.99287516198,,0.2460600336091227,,20.109400624013865,,0.39604288854695624,53.47083214385147,0.37213663157705285,53.28881301466143,50.25607551717216,,42.62787806786357,-46.71118698533857,89.47934470496739,0.0,0.0,2.367227889116826,1.7588002704624583,0.541942696409673,2.305671364793466,1.3098749775046505,20.06961624590892,19.28609813158827,32.26692259552353,48.0,12.0,60.0,8.676646755304699,-27.858499999998457,0,-265.22102934042937,86.01762464556242,-351.2386539859918,25.2345657053138,,,1,,,0.1452496313461148,0.9487535987641308,1.0940032301102456,2979.39,2.25,2.0,1,-0.31328,-0.1758,-1,48.27631433369393,1
